和らぐ,6
申し立てる,6
乾かす,6
突き放す,6
苦しめる,6
役立てる,6
出回る,6
読み取る,6
着せる,6
危ぶむ,6
冷え込む,6
怒鳴る,6
買い上げる,6
乗り換える,6
苛立つ,6
吐き出す,6
転がる,6
通り過ぎる,6
辞する,6
読み込む,6
生まれ育つ,6
締め括る,6
持ち掛ける,6
ぶつかり合う,6
化する,6
奪い取る,6
込み上げる,6
付する,6
見張る,6
捧げる,6
考え出す,6
生まれ変わる,6
潜める,6
行き着く,6
肥える,6
錆びる,6
見受ける,6
隔てる,6
仕切る,6
押し上げる,6
吹き飛ぶ,6
引っ越す,6
繰り出す,6
売れ残る,5
容れる,5
汲み取る,5
和える,5
行き届く,5
垂れる,5
食い違う,5
競い合う,5
振り払う,5
通り抜ける,5
覚ます,5
伏せる,5
立たす,5
書き直す,5
握り締める,5
寄り添う,5
締め付ける,5
思い遣る,5
食らう,5
売り付ける,5
見遣る,5
追い出す,5
済ます,5
青褪める,5
突き上げる,5
涙ぐむ,5
嵌める,5
懐かしむ,5
広める,5
閉ざす,5
混じる,5
くっ付く,5
差し掛かる,5
ばてる,5
熟する,5
取り消す,5
嵩張る,5
飛び下りる,5
むかつく,5
垂らす,5
見過ごす,5
広まる,5
ぶら下がる,5
張り切る,5
駆ける,5
教わる,5
切り捨てる,5
勝ち越す,5
切り分ける,5
転がす,5
手渡す,5
色褪せる,5
吹き込む,5
飛び立つ,5
掻き立てる,5
面する,5
送り付ける,5
支え合う,5
抜かす,5
見習う,5
取り残す,5
売り上げる,5
押し通す,5
飛び回る,5
萎える,5
遣り遂げる,5
沈める,5
映える,5
弱める,5
飛び散る,5
引き締まる,5
透ける,5
割り当てる,5
擦り下ろす,5
根差す,5
執り行なう,5
口説く,5
言い替える,5
歪める,5
もてる,5
駆け上がる,5
切り抜ける,5
律する,5
折り畳む,5
供する,5
動き回る,5
魅する,5
取り下げる,5
捏ねる,5
強請る,5
逸らす,5
突き進む,5
呼び止める,5
害する,5
吠える,5
突き立てる,5
取り締まる,5
断ずる,5
敷き詰める,5
冴える,5
波打つ,5
立ち返る,5
取り揃える,4
仕上がる,4
しがみ付く,4
襲い掛かる,4
食い込む,4
買い換える,4
出直す,4
零れる,4
奏でる,4
差し引く,4
繰り上げる,4
近寄る,4
持て囃す,4
呼び寄せる,4
ぶら下げる,4
脅かす,4
押し切る,4
纏わる,4
持ち上がる,4
投げ掛ける,4
仕える,4
蕩ける,4
戯れる,4
引き手繰る,4
巻き付ける,4
忍び込む,4
絡み合う,4
ぱらつく,4
出でる,4
見返す,4
静まり返る,4
突き刺す,4
気遣う,4
窶れる,4
掘り上げる,4
横たえる,4
向かい合う,4
差し押さえる,4
行き詰まる,4
乗り取る,4
仕分ける,4
売り越す,4
遠ざかる,4
積み立てる,4
煮込む,4
齧り付く,4
喫する,4
転ける,4
事欠く,4
改まる,4
甘んずる,4
走り去る,4
吹き飛ばす,4
解ける,4
積み増す,4
扮する,4
使い分ける,4
振れる,4
居座る,4
打っ掛ける,4
問い掛ける,4
締め出す,4
張り替える,4
分かち合う,4
引き立てる,4
貸し出す,4
陥れる,4
傾げる,4
見破る,4
踏み入れる,4
這い上がる,4
巻き起こす,4
埋もれる,4
さ迷う,4
吸い込む,4
儲かる,4
食する,4
廃れる,4
取り付く,4
刳り抜く,4
ぼやける,4
丸める,4
散らばる,4
通じ合う,4
生き延びる,4
聳える,4
駆け回る,4
押し進める,4
切り落とす,4
遅らせる,4
銘ずる,4
当て嵌まる,4
寄越す,4
抜き去る,4
持て余す,4
詰め掛ける,4
馬鹿げる,4
聞き返す,4
持ち歩く,4
濡らす,4
引き寄せる,4
恥じる,4
持ち合わせる,4
塞がる,4
巻き戻す,4
悩ます,4
形作る,4
願い出る,4
供える,4
奪い合う,4
並び立つ,4
押し退ける,4
焼き払う,4
付き纏う,4
見知る,4
見入る,4
目掛ける,4
閉じ籠もる,4
引き返す,4
譲り受ける,4
突き出す,4
溶け込む,4
築き上げる,4
片付く,4
言い返す,4
取り返す,4
引き延ばす,4
泣かす,4
飛び抜ける,4
ばら蒔く,4
老いる,4
飲み干す,4
流れ出す,4
咲き乱れる,4
従える,4
駆け下りる,4
澄ます,4
透き通る,4
掛け合う,4
勝ち取る,4
授かる,4
積もる,4
だぶつく,4
出し合う,4
入れ替わる,4
渦巻く,4
立て直す,4
引ける,4
束ねる,4
取り掛かる,4
取り払う,4
踏み躙る,4
縮める,4
掘り下げる,4
睨み付ける,4
食み出す,4
縺れる,4
問い質す,4
滅ぼす,4
絞り込む,4
言い表わす,4
愛でる,4
打ちのめす,4
拭き取る,4
見比べる,4
括り付ける,4
持ち越す,4
息巻く,4
そびれる,4
揉み合う,4
滲み出る,4
乗り上げる,4
手繰る,4
割り出す,3
連れ去る,3
荒れ狂う,3
張り付く,3
科する,3
迫り来る,3
振り向ける,3
垣間見る,3
取り押さえる,3
乗り移る,3
勝ち上がる,3
着込む,3
取り外す,3
行き交う,3
持ち堪える,3
住み着く,3
押し入る,3
立ち込める,3
歩み寄る,3
めげる,3
処する,3
勤まる,3
静める,3
振り出す,3
勤しむ,3
詰め寄る,3
忍び寄る,3
送り届ける,3
威張る,3
縁取る,3
曝け出す,3
引き立つ,3
見切る,3
思い当たる,3
返り咲く,3
駆り立てる,3
食い下がる,3
育て上げる,3
ぶれる,3
割り引く,3
擁する,3
出揃う,3
炊き込む,3
交じる,3
手繰り寄せる,3
愚図る,3
封じ込める,3
踏み固める,3
近付ける,3
躍らす,3
付き添う,3
届け出る,3
連れ出す,3
呆れ返る,3
突き止める,3
吹き付ける,3
吹き荒れる,3
追い越す,3
浮き立つ,3
追い求める,3
めかす,3
強張る,3
駆け上る,3
切羽詰まる,3
思い知らす,3
年老いる,3
勢い付く,3
待ち構える,3
羽織る,3
見せ掛ける,3
投げ付ける,3
膨れる,3
言い放つ,3
ばらす,3
蹴散らす,3
引き分ける,3
立ち去る,3
溺れる,3
企てる,3
瀕する,3
癒える,3
会する,3
作り直す,3
陣取る,3
召し上がる,3
申し入れる,3
揉み消す,3
考え付く,3
作り変える,3
早める,3
跳ね上がる,3
華やぐ,3
失せる,3
区切る,3
揺れ動く,3
休める,3
吹き抜ける,3
言い張る,3
書き上げる,3
書き出す,3
損ねる,3
当て嵌める,3
成し遂げる,3
背ける,3
寝付く,3
横たわる,3
取り分ける,3
思い浮かぶ,3
見立てる,3
思い止まる,3
預かる,3
ときめく,3
潜り込む,3
掻き回す,3
遠退く,3
分け合う,3
見通す,3
咎める,3
噛み合う,3
差し向ける,3
申し出る,3
溜め込む,3
心行く,3
擬える,3
纏め上げる,3
突き返す,3
回り込む,3
寄せ付ける,3
放り出す,3
温まる,3
腫れる,3
見放す,3
引き離す,3
埋め立てる,3
仰け反る,3
押し潰す,3
決する,3
膨れ上がる,3
押さえ付ける,3
砕ける,3
考え直す,3
目論む,3
揉める,3
鏤める,3
打ち破る,3
取り合う,3
言い募る,3
引き込む,3
黒ずむ,3
焦げる,3
言い付ける,3
回し掛ける,3
見越す,3
焦がす,3
生み育てる,3
零れ落ちる,3
煮詰める,3
紛れる,3
垂れ流す,3
狙い澄ます,3
抱き抱える,3
解き明かす,3
引っ込める,3
見抜く,3
ふざける,3
噛み付く,3
降り注ぐ,3
重ね合わせる,3
案ずる,3
ちらつく,3
先んずる,3
怯える,3
舞い下りる,3
取り乱す,3
甘やかす,3
伸し掛かる,3
竦める,3
身構える,3
助け合う,3
逃がす,3
模する,3
長ける,3
聳え立つ,3
静まる,3
毒付く,3
からかう,3
投げ飛ばす,3
出会す,3
引き戻す,3
空ける,3
切り立つ,3
明け暮れる,3
凍り付く,3
見捨てる,3
振り翳す,3
犇めき合う,3
奥まる,3
飛び越える,3
追い回す,3
身籠もる,3
帰する,3
悔やむ,3
黙り込む,3
恐れ入る,3
憂える,3
突っ走る,3
覆い被さる,3
語らう,3
冠する,3
居合わせる,3
洗い流す,3
立ち行く,3
蓄える,3
煮出す,3
不貞腐れる,3
しゃがみ込む,3
使い込む,3
旅立つ,3
博する,3
古びる,3
抱き合う,3
躍り出る,3
悔いる,2
練り込む,2
刃向かう,2
拵える,2
奪い去る,2
研ぎ澄ます,2
仕込む,2
魘される,2
引き連れる,2
見紛う,2
魅せる,2
受け渡す,2
ざわつく,2
寝かせる,2
組み上げる,2
呼び戻す,2
買い付ける,2
ざわめく,2
ずば抜ける,2
窺い知る,2
着飾る,2
赤茶ける,2
据え置く,2
結わえる,2
振り分ける,2
擦り減る,2
貫き通す,2
引っこ抜く,2
色付く,2
染め上げる,2
打ちまける,2
注ぎ足す,2
燃え立つ,2
遣らかす,2
呼び付ける,2
流れ出る,2
屈める,2
掠める,2
振り掛ける,2
踏み締める,2
築き直す,2
晴らす,2
授ける,2
押し戻す,2
借り入れる,2
ぶらつく,2
落とし込む,2
乗り入れる,2
そそり立つ,2
悪びれる,2
踏み止まる,2
取り壊す,2
振り上げる,2
開き直る,2
突き倒す,2
切り付ける,2
ぶん殴る,2
見回る,2
横切る,2
食い付く,2
燃え尽きる,2
掘り起こす,2
なぞる,2
取り寄せる,2
怠ける,2
伸し上がる,2
打ち殺す,2
聞き比べる,2
食い荒らす,2
跳ねる,2
立ち会う,2
飛び上がる,2
切らす,2
掻き混ぜる,2
萌え出でる,2
纏い付く,2
もがく,2
滅びる,2
座する,2
白ける,2
引き替える,2
立ち尽くす,2
逃げ回る,2
高ずる,2
遣り過ごす,2
擦れる,2
居並ぶ,2
照れる,2
振り撒く,2
ダブる,2
書き入れる,2
突き当たる,2
思い返す,2
吸い取る,2
生やす,2
呼び起こす,2
練り上げる,2
口ずさむ,2
引き入れる,2
転がり込む,2
染め抜く,2
切り替わる,2
運び込む,2
下り立つ,2
思い至る,2
振り絞る,2
書き加える,2
問い返す,2
挟まる,2
突き落とす,2
買い込む,2
くっ付ける,2
鞭打つ,2
北叟笑む,2
駆けずる,2
思い詰める,2
けちる,2
導き出す,2
追い抜く,2
脱ぎ捨てる,2
宥める,2
負ぶう,2
極まる,2
潜り抜ける,2
重なり合う,2
黙する,2
割り入れる,2
与する,2
炒め合わせる,2
引き攣る,2
噎せる,2
読み返す,2
刈り取る,2
噛ます,2
浸かる,2
差し当たる,2
